Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
Shipwreck - Domain,Victoria,Wilsons Promontory,Maritime/Coastal,1846-04-11,1846-04-11,14,1,Not Available,-38.9567021,146.3514784
Shipwreck - Alert,Victoria,Wilsons Promontory,Maritime/Coastal,1893-12-28,1893-12-28,15,1,Not Available,-38.9567021,146.3514784
Landslide - Thredbo,New South Wales,Canberra (NSW),Landslide,1997-07-30,1997-07-30,18,1,Not Available,-33.8094874,151.1641281
"Cyclone - Broome, Lacepede Islands",Western Australia,"Broome, Lacepede Islands",Cyclone,1935-03-25,1935-03-25,142,1,Not Available,-16.8551256,122.1037625
Industrial - Beaconsfield Mine,Tasmania,Launceston,Industrial,2006-04-25,2006-05-09,1,2,Not Available,-41.4340813,147.1373496
Severe Storm - Sydney and Blue Mountains ,New South Wales,Sydney,Storm,1994-11-20,1994-11-20,2,2,29000000,-33.8698439,151.2082848
Industrial - Gladstone Factory Explosion,South Australia,Whyalla,Industrial,2006-05-09,2006-05-09,3,2,Not Available,-33.0382085,137.5843572
Transport - Burnley Tunnel Fire ,Victoria,Melbourne,Transport,2007-03-23,2007-03-23,3,2,Not Available,-37.8142454,144.9631732
Industrial - Collinsville Mine,Queensland,Mackay,Industrial,1954-10-13,1954-10-13,7,2,Not Available,-21.141956,149.1865149
Shipwreck - Canmore,New South Wales,Sydney,Maritime/Coastal,1854-10-21,1854-10-21,7,2,Not Available,-33.8698439,151.2082848
Shipwreck - Elmgrove,Victoria,Wilsons Promontory,Maritime/Coastal,1876-09-09,1876-09-09,7,2,Not Available,-38.9567021,146.3514784
Shipwreck - Rainbow,New South Wales,Sydney,Maritime/Coastal,1864-06-02,1864-06-02,7,2,Not Available,-33.8698439,151.2082848
Urban Fire - Slacks Creek House Fire,Queensland,Brisbane,Urban Fire,2011-08-24,2011-08-24,11,2,Not Available,-27.4689682,153.0234991
"Bushfire � Mt Ku-ring-gai, New South Wales 2000",New South Wales,Mt Ku-Ring-gai,Bushfire,2000-06-08,2000-06-08,4,3,Not Available,-33.6531707,151.1368681
Shipwreck - Bogong,Victoria,Cooma (VIC),Maritime/Coastal,1896-09-23,1896-09-23,4,3,Not Available,-36.409381,145.0728646
Landslide - Adelaide Hills,South Australia,Adelaide,Landslide,1928-01-31,1928-01-31,6,3,Not Available,-34.9281805,138.5999312
